Type,Coordinates,Lat,Lon
Little Free Library,"41.8742426,-72.8013713",41.8742426,-72.8013713
Little Free Library,"41.7208525,-72.7258705",41.7208525,-72.7258705
Little Free Library,"41.722438,-72.8292806",41.722438,-72.8292806
Little Free Library,"41.7769696,-72.7338073",41.7769696,-72.7338073
Little Free Library,"41.2867578,-72.3859794",41.2867578,-72.3859794
Little Free Library,"41.4868309,-72.901121",41.4868309,-72.901121
Little Free Library,"41.4994166,-72.901846",41.4994166,-72.901846
Little Free Library,"41.8597648,-72.4351638",41.8597648,-72.4351638
Little Free Library,"41.6945188,-72.5981841",41.6945188,-72.5981841
Little Free Library,"41.3188554,-72.32887",41.3188554,-72.32887
Little Free Library,"41.8755322,-73.0326212",41.8755322,-73.0326212
Little Free Library,"41.3832,-72.90448",41.3832,-72.90448
Little Free Library,"41.3832,-72.90448",41.3832,-72.90448
Little Free Library,"41.886128,-72.803957",41.886128,-72.803957
Little Free Library,"41.2840131,-72.445093",41.2840131,-72.445093
Little Free Library,"41.7710443,-72.7130736",41.7710443,-72.7130736
Little Free Library,"41.3047814,-72.8498334",41.3047814,-72.8498334
Little Free Library,"41.27123,-72.591195",41.27123,-72.591195
Little Free Library,"41.876791,-72.798149",41.876791,-72.798149
Little Free Library,"41.3079682,-72.2323308",41.3079682,-72.2323308
Little Free Library,"41.0479041,-73.5110962",41.0479041,-73.5110962
Little Free Library,"41.7466227,-73.1894801",41.7466227,-73.1894801
Little Free Library,"41.7466227,-73.1894801",41.7466227,-73.1894801
Little Free Library,"41.2829387,-72.931269",41.2829387,-72.931269
Little Free Library,"41.4628469,-72.831765",41.4628469,-72.831765
Little Free Library,"41.4581245,-72.8350462",41.4581245,-72.8350462
Little Free Library,"41.328051,-71.905657",41.328051,-71.905657
Little Free Library,"41.3389344,-71.9070235",41.3389344,-71.9070235
Little Free Library,"41.698467,-72.692154",41.698467,-72.692154
Little Free Library,"41.4666025,-72.8023177",41.4666025,-72.8023177
Little Free Library,"41.3676091,-71.9617838",41.3676091,-71.9617838
Little Free Library,"42.013628,-72.628266",42.013628,-72.628266
Little Free Library,"41.592581,-72.8843111",41.592581,-72.8843111
Little Free Library,"41.5776857,-73.4117791",41.5776857,-73.4117791
Little Free Library,"41.12637,-73.511006",41.12637,-73.511006
Little Free Library,"41.8006226,-72.7256947",41.8006226,-72.7256947
Little Free Library,"41.325142,-72.6357755",41.325142,-72.6357755
Little Free Library,"41.4262725,-72.0141073",41.4262725,-72.0141073
Little Free Library,"41.7137841,-72.7229008",41.7137841,-72.7229008
Little Free Library,"41.3407151,-72.8072573",41.3407151,-72.8072573
Little Free Library,"42.0230396,-73.3769253",42.0230396,-73.3769253
Little Free Library,"41.292419,-72.372914",41.292419,-72.372914
Little Free Library,"41.7175341,-72.6530839",41.7175341,-72.6530839
Little Free Library,"41.1785685,-73.214431",41.1785685,-73.214431
Little Free Library,"41.2929785,-73.4934005",41.2929785,-73.4934005
Little Free Library,"41.7281624,-72.9065364",41.7281624,-72.9065364
Little Free Library,"41.6042705,-72.8884237",41.6042705,-72.8884237
Little Free Library,"41.7583779,-72.7516693",41.7583779,-72.7516693
Little Free Library,"41.9034782,-72.4668822",41.9034782,-72.4668822
Little Free Library,"41.9289969,-72.3778458",41.9289969,-72.3778458
Little Free Library,"41.6380338,-73.3188701",41.6380338,-73.3188701
Little Free Library,"41.8961444,-72.7877913",41.8961444,-72.7877913
Little Free Library,"41.914082,-72.852858",41.914082,-72.852858
Little Free Library,"41.7396667,-73.2167541",41.7396667,-73.2167541
Little Free Library,"41.8427509,-72.641676",41.8427509,-72.641676
Little Free Library,"41.5707525,-73.1897097",41.5707525,-73.1897097
Little Free Library,"41.8185605,-73.1173956",41.8185605,-73.1173956
Little Free Library,"41.8277181,-72.5420418",41.8277181,-72.5420418
Little Free Library,"41.764815,-72.718504",41.764815,-72.718504
Little Free Library,"41.7886832,-72.5100815",41.7886832,-72.5100815
Little Free Library,"41.3344877,-71.9929324",41.3344877,-71.9929324
Little Free Library,"41.9561062,-73.3631099",41.9561062,-73.3631099
Little Free Library,"41.3785546,-72.507642",41.3785546,-72.507642
Little Free Library,"41.765596,-72.721146",41.765596,-72.721146
Little Free Library,"41.1780189,-73.2363045",41.1780189,-73.2363045
